ID,name,url,location,no. of reviews,description,tuition,enrollment
69,Southern Methodist University,https://www.usnews.com//best-colleges/smu-3613,"Dallas, TX",8 reviews,"Despite its name, this private university in Dallas is nonsectarian in its teaching. The school was founded by what became the United Methodist Church in 1911, but it is now home to students of many religious affiliations. Outdoor activities are plentiful in Dallas, a city that boasts an average of 232 days of sunshine a year. Students can check out the Dallas International Film Festival, which draws 40,000 viewers annually, or explore the more than 400 parks in the city. Students are required to live on campus for their first two years at SMU. The campus is also home to the George W. Bush Presidential Center, which comprises a Bush administration museum, library and public policy institute, and frequently hosts speakers. The SMU Mustangs sports teams play in the Division I American Athletic Conference, supported by mascot Peruna, a black stallion Shetland pony. About 2,000 students are involved in SMU Greek life, and all students can participate in annual events such as the Festival of Lights, a candlelit assembly on the school\'92s Main Quad each December, and the Mane Event, a celebration of spring complete with bands and food.SMU has well-regarded graduate offerings at the Cox School of Business and its law school. Undergraduates can get a unique education through the SMU-in-Taos program, which sends students to the school\'92s campus in the mountains of New Mexico. In historic Fort Burgwin, students gain hands-on learning in courses such as anthropology, biology and astronomy. Notable SMU alumni include former first lady Laura Bush and the late television producer Aaron Spelling.","$60,236 ","6,827(fall 2020)"
70,Texas A&M University,https://www.usnews.com//best-colleges/texas-am-university-college-station-10366,"College Station, TX",16 reviews,"Ready to be an Aggie? All students assume the nickname at Texas A&M, an academic and athletic powerhouse in central Texas. Once an all men\'92s school called the Agricultural and Mechanical College \'96 now shortened to A&M \'96 the university today is coed and offers a wide variety of majors and activities. Students can choose from more than 1,000 clubs and organizations, including nearly 60 fraternities and sororities. About 10% of students go Greek. More students, about 25%, play in Texas A&M intramural sports leagues, one of the largest programs in the country. The school\'92s varsity sports compete in the NCAA Division I Southeastern Conference, cheered on by mascot Reveille IX, a collie. Miss Rev, as the collie is known, is also the highest-ranking member in the school\'92s Cadet Corps, the largest ROTC program in the nation (not including programs at service academies). First-year students interested in community service can get involved right away through the Freshmen in Service and Hosting program (FISH). All students can give back during The Big Event, the largest single-day, student-run volunteer effort in the country in which more than 22,000 Aggies work to improve the nearby cities of College Station and Bryan. For many students, these communities are also home; freshmen are not required to live on campus and many choose to live in College Station or Bryan.The university has highly ranked graduate offerings through its Dwight Look College of Engineering, Mays Business School and College of Education and Human Development. The school, which is known as a research institution, offers unique programs including the only veterinary medicine school in Texas. The school also has a campus in Qatar, where about 500 students enroll. Notable alumni of Texas A&M include dozens of politicians such as U.S. Reps. Joe Barton and Louie Gohmert, and a handful of beauty pageant winners, including Miss USA, Kandace Krueger, and Miss Louisiana USA, Melissa McConnell.","$40,087(out-of-state)","55,568(fall 2020)"
71,University of Massachusetts--Amherst,https://www.usnews.com//best-colleges/umass-amherst-2221,"Amherst, MA",17 reviews,Students at the University of Massachusetts\'97Amherst can choose from more than 100 majors or can design their own. The school\'92s University Without Walls program offers flexible course schedules for adult students.,"$36,964(out-of-state)","24,233(fall 2020)"
72,University of Minnesota--Twin Cities,https://www.usnews.com//best-colleges/university-of-minnesota-twin-cities-3969,"Minneapolis, MN",5 reviews,"The University of Minnesota stretches across a major city \'96 or two, to be exact. Minneapolis and St. Paul, known as the Twin Cities, are frequently recognized for sports, cleanliness and volunteerism. The school has a campus in each city, though the Minneapolis site is considered the main campus of the University of Minnesota. Freshmen do not have to live on campus, but the more than 80 percent who choose to can opt to live in traditional residence halls or one of more than two dozen Living Learning communities, such as the Healthy Foods, Healthy Lives House and La Casa De Espa\'f1ol. Also on campus are more than 600 student organizations, including more than 30 fraternities and sororities. The Minnesota Golden Gophers compete in the NCAA Division I Big Ten Conference, and all athletic events are held in the Minneapolis campus's Stadium Village neighborhood. Goldy Gopher, the school mascot, energizes thousands of student fans as they chant ""Ski-U-Mah,"" a rally cry that means ""Victory UM."" Under the Four-Year Graduation Plan, the university ensures that all necessary classes will be available for students to complete their degrees on time. If courses are not available in an undergraduate's four years of schooling, the university will pay for the extra credits.The university\'92s Carlson School of Management, College of Education and Human Development and law school are each ranked highly. The public research university begins to engage students at the undergraduate level. Some university applicants will even be guaranteed the opportunity to research when they receive their acceptance letters, and undergraduate researchers are paid for their work. For an off-campus experience, Gophers can study at one of about 200 other schools in U.S. and Canada through the National Student Exchange program, or can venture abroad with the help of the university\'92s large global study program. Notable alumni of the University of Minnesota include former U.S. Vice Presidents Hubert Humphrey and Walter Mondale, pianist Yanni and journalist Rick Sanchez.","$33,843(out-of-state)","36,061(fall 2020)"
73,Yeshiva University,https://www.usnews.com//best-colleges/yeshiva-university-2903,"New York, NY",3 reviews,"Yeshiva University is Jewish institution in New York City. The university is divided into three undergraduate colleges: Yeshiva College, the Stern College for Women and the Sy Syms School of Business, each at campuses throughout Manhattan. A university shuttle system transports students between campuses. The university also has a campus in Israel, where more than 600 students a year study through the S. Daniel Abraham Israel Program. All freshmen are required to live on campus. There are hundreds of student organizations on campus, from a computer science club to the Student Holocaust Education Movement. The Yeshiva Maccabees sports teams compete at the NCAA Division III level. The school has a Center for the Jewish Future, which sponsors projects like the YU Torah Online. Students participate in regular Shabbat programs on and off campus with guest speakers, social programming and meals. There are student publications at each campus, including newspapers The Commentator and The Observer.Yeshiva University earns accolades for its highly ranked research opportunities at the Albert Einstein College of Medicine, and Yeshiva has a law school, too. The school has a number of graduate offerings specific to the Jewish faith through the Azrieli Graduate School of Jewish Education and Administration and the Bernard Revel Graduate School of Jewish Studies, which offers master\'92s degrees in areas such as Medieval Jewish History and Jewish Philosophy.","$47,500 ","2,017(fall 2020)"
74,Baylor University,https://www.usnews.com//best-colleges/baylor-university-6967,"Waco, TX",24 reviews,"The student community at Baylor University is bound together largely by religion and service. The Waco, Texas, school is a private, Baptist institution, and its student body is particularly active in volunteerism. Each semester, students donate a collective 12,000 hours of time to service projects through a one-day program called Steppin\'92 Out. Students can volunteer year-round through the school\'92s Urban Missions, which coordinates service projects in the local community, and Global Missions, which sends students abroad. The student body is also active in faith-based activities. Each year, students lead Be The Change, a week of speakers, breakout sessions and events that give religion a global focus. Freshmen are required to live on campus and must also take two semesters of Chapel, attending worship services every Monday and Wednesday. Students and faculty gather daily for a campus prayer at noon, and weekly for free ice cream floats during ""Dr Pepper Hour.""Students can also get involved in more than 300 student organizations on campus. There are about 40 fraternities and sororities, and the organizations compete in their own intramural sports leagues. Baylor is one of the only private schools in the NCAA Division I Big 12 Conference, but the sports teams, known as the Baylor Bears, stay competitive \'96 especially in football. The school mascot, not surprisingly, is a bear. Baylor University also has its own holiday, Diadeloso, or ""The Day of the Bear,"" a day when classes are canceled so students can participate in athletics tournaments and attend free concerts. Waco, which is 100 miles from Dallas and Austin, is a small city with outdoor recreation opportunities like hiking and mountain biking.Baylor University faculty and students are active in research. The university partners with the city of Waco in some of its research initiatives, including the Center for Reservoir and Aquatic Systems Research and the Waco Mammoth Site. For those who want to write about events on and off campus, the school newspaper, the Baylor Lariat, hires a small staff of student writers on a yearly basis. Famous Baylor University graduates include Angela Kinsey, an actress who portrayed the character Angela on ""The Office,"" comedian and ventriloquist Jeff Dunham and Mark Hurd, former CEO of Hewlett-Packard.","$50,232 ","14,399(fall 2020)"
75,Clemson University,https://www.usnews.com//best-colleges/clemson-university-3425,"Clemson, SC",11 reviews,"Clemson University is a land-grant institution that conducts research for the betterment of the community. Students and faculty are involved in projects ranging from improving irrigation systems to lowering youth bullying rates in South Carolina schools. Sports and the color orange are a big part of Clemson, and the Clemson Tigers compete in the NCAA Division I Atlantic Coast Conference. Students can participate in more than 400 student clubs and organizations, with about 25 percent of students involved in the Greek system. Freshmen are required to live in university housing, and nearly half of all students choose to live on campus. Notable alumni include former U.S. Sen. Strom Thurmond, former Washington Redskins center Jeff Bostic and PGA Tour golfer Lucas Glover.","$37,712(out-of-state)","20,868(fall 2020)"
76,Loyola Marymount University,https://www.usnews.com//best-colleges/loyola-marymount-university-11649,"Los Angeles, CA",6 reviews,"Loyola Marymount University\'97the largest Catholic university on the West Coast\'97is located in Los Angeles. LMU provides housing to more than 3,000 students in its residence halls, apartments, and houses. There are about 150 student clubs and organizations on campus, including nearly 15 Greek chapters. Students interested in media can join the radio station; The Los Angeles Loyolan, a student newspaper; The Tower, a university yearbook; or ROAR Network, a television channel. The Loyola Marymount Lions field a number of Division I athletic teams and compete in the West Coast Conference. Club sports like the surfing, rugby, and ski and snowboard are also popular among students.LMU is comprised of seven schools and colleges. Graduate programs include the College of Business Administration, Loyola Law School, and School of Education. All undergraduates\'97whether members of Bellarmine College of Liberal Arts, Frank R. Seaver College of Science and Engineering, College of Business Administration, College of Communication and Fine Arts, or School of Film and Television\'97must complete the core curriculum. More than 500 students study abroad each year through LMU programs in Melbourne, Australia; Bonn, Germany; and Seoul, South Korea, among other locations. Notable alumni include Brian Helgeland, who wrote the screenplays for films Mystic River and L.A. Confidential, and famous lawyer Johnnie Cochran, who defended O.J. Simpson.","$53,051 ","6,673(fall 2020)"
77,Virginia Tech,https://www.usnews.com//best-colleges/virginia-tech-3754,"Blacksburg, VA",11 reviews,"Virginia Tech, a former military technical institute in Blacksburg, encourages students to \'93invent the future.\'94 It is a research powerhouse, with seven research institutes and two university research centers that offer undergraduate and graduate students research opportunities. Graduate offerings include programs in the highly ranked College of Engineering. The university sports teams, known as the Hokies, compete in the NCAA Division I Atlantic Coast Conference. Students account for more than half the total residents in Blacksburg. They can participate in more than 600 clubs and organizations, including a large Greek system of more than 50 fraternities and sororities. Freshmen must live on campus, and the school has renowned dining facilities. Notable Hokie alumni include football player Michael Vick and talk show host Hoda Kotb.","$33,253(out-of-state)","30,020(fall 2020)"
78,American University,https://www.usnews.com//best-colleges/american-university-1434,"Washington, DC",7 reviews,"Students at American University benefit from the school's location in the political hub of the nation. Washington, D.C., is a playground for the politically and socially oriented with its countless museums, restaurants, clubs and year-round events. The university, located in a suburban pocket of northwest Washington, is close to a stop on the D.C.-area Metrorail transit system. Rides downtown take about 15 minutes. Students at American have been rated among the most politically active in the nation, and there are more than 200 student clubs and organizations on campus. The school also has a sizeable Greek system, with about 30 fraternities and sororities.The American University Eagles sports teams compete in the NCAA Division I Patriot League, and the school\'92s mascot is, accordingly, an eagle. Catching a professional sports contest, such as a Redskins football game or a Nationals baseball game, is a quick trip from campus, too. The university is affiliated with the Methodist church, but its Kay Spiritual Life Center houses about 25 groups of different faiths. The confluence of opportunities on and off campus clearly works for most students: American University boasts a notably high freshmen retention rate of around 90 percent.American University has eight unique schools, including the well-regarded Washington College of Law. All students can take advantage of the school\'92s cultural hubs, such as the Katzen Arts Center and Greenberg Theatre. For time away from the nation's capital, more than 70 percent of undergraduates study abroad. American University's School of International Service is one of the top ten international affairs schools in the country. Dozens of politicians are alumni of American University, including U.S. Reps. Loretta Sanchez and Donald Manzullo and former U.S. Reps. Betsy Markey and Bill Shuster. Mike Panetta, the former shadow representative for Washington, D.C., is also an American University graduate.","$51,334 ","7,953(fall 2020)"
79,Brigham Young University--Provo,https://www.usnews.com//best-colleges/byu-3670,"Provo, UT",21 reviews,"Student life centers on religion and responsibility at Brigham Young University\'97Provo, a school founded and supported by The Church of Jesus Christ of Latter-day Saints. There are more than 300 clubs on campus and a student volunteer coalition completes community service projects around campus. There is no Greek system at BYU. The BYU Cougars mainly compete in the NCAA Division I West Coast Conference. The football team is known for the number of players drafted by the NFL: about 140 players and counting. All BYU students can participate in the intramural sports, and about 40 percent choose to do so. Freshmen do not have to live on the Provo, Utah, campus, though the school encourages it. All students live according to a strict honor code, which prohibits \'96 among other things \'96 camping with members of the opposite sex and growing a beard without a doctor's approval. Extramarital and gay sex are also prohibited. Situated at the base of the Wasatch Mountains, the campus is close to plentiful climbing, hiking and biking opportunities. Provo is also home to the Missionary Training Center, where students of the Latter-day Saints faith can enroll to learn and grow before serving at least 18 months around the world.Known for its excellence in language education, BYU regularly offers courses in 62 different languages. About 65 percent of students speak a second language. In addition to its main location in Provo, BYU has campuses in Idaho and Hawaii. Notable BYU alumni include former U.S. presidential candidate Mitt Romney, ""Twilight"" series author Stephenie Meyer and actors Jon Heder of ""Napoleon Dynamite"" and Aaron Eckhart of ""Batman: The Dark Knight.""","$6,120 ","33,365(fall 2020)"
80,Gonzaga University,https://www.usnews.com//best-colleges/gonzaga-university-3778,"Spokane, WA",4 reviews,"Gonzaga University is a private, Roman Catholic institution that is open to students of all faiths. Residing along the Spokane River, it is less than half a mile to downtown Spokane, Wash. On campus, there are more than 95 active clubs for students to choose from. Intramural sports are very popular at Gonzaga, with more than 60 percent of the student body participating. The Bulldogs of Gonzaga are part of the NCAA Division I West Coast Conference. The men\'92s basketball team is the pride and joy of the university, and the team has returned the love by winning more than 90 percent of its games at the school\'92s McCarthey Athletic Center. At Gonzaga, students are required to live on campus during their first two years, but the university has stated that on-campus housing is not guaranteed for an entire college career. Students interested in outdoor pursuits can journey to the 100-acre Riverfront Park and go ice skating in the winter or check out the sky ride over the falls. They can also explore the Spokane River Centennial Trail, a 37-mile paved trail perfect for walking, running, skating, or biking.As a Roman Catholic institution, Gonzaga collaborates with Bishop White Seminary by offering theology courses to students preparing for priesthood. The Gonzaga University School of Law is one of only three law schools in the state of Washington, and it has produced multiple state Supreme Court justices. With a large international presence on campus, the university has increased its offerings to international students with the creation of the Center for Global Engagement. Mock trial is a very popular, highly competitive political law club at the school. Students that would like entry into the club must go through a series of rigorous tryouts before joining the team. Notable alumni of the university include singer Bing Crosby, former Speaker of the House Tom Foley, and Hall of Fame basketball player John Stockton. ","$48,470 ","4,852(fall 2020)"
81,North Carolina State University,https://www.usnews.com//best-colleges/north-carolina-state-raleigh-2972,"Raleigh, NC",8 reviews,"North Carolina State University, known as NC State for short, is the largest four-year college in the state. Students have more than 100 degree programs and more than 580 clubs and organizations to choose from.","$29,916(out-of-state)","26,150(fall 2020)"
82,Binghamton University--SUNY,https://www.usnews.com//best-colleges/suny-binghamton-2836,"Binghamton, NY",20 reviews,"Outdoor recreation abounds in the southeastern New York location of Binghamton University. Despite its name, the university is actually located in Vestal, N.Y., a suburb of Binghamton. The campus includes a nature preserve, complete with a forest and pond where students can hike, bike and run around. Through the Adventure Resource Center and the Outdoor Pursuits program, students can participate in organized kayaking, climbing and camping trips or can plan an excursion of their own. Winter sports fans can go skiing and snowboarding at Greek Peak, a 30-mile trip from campus. On campus, annual student events include University Fest and Spring Fling, two outdoor celebrations with live music, carnival rides and food. There are more than 300 student organizations, including nearly 60 recognized fraternities and sororities.Freshmen must live on campus. One perk of living in the school's residence facilities: free laundry. The Binghamton Bearcats compete in the NCAA Division I America East Conference, and student fans form the BU Zoo cheering section during basketball games. The school mascot is a bearcat named Baxter. On average, more than nine in 10 students remain at SUNY Binghamton after freshman year, one of the highest first-year retention rates in the country.Binghamton University is ranked as one of the top schools in the state of New York. Highly ranked graduate programs include the Department of History, Department of Public Administration and Department of Psychology. In addition, the university is renowned for its sustainability efforts. Notable alumni include Madeleine Smithberg, the co-creator and former executive producer of ""The Daily Show,"" Andrew Bergman, the screenwriter who penned ""Blazing Saddles,"" and Tony Kornheiser, an ESPN commentator.","$27,909(out-of-state)","14,333(fall 2020)"
83,Colorado School of Mines,https://www.usnews.com//best-colleges/colorado-school-of-mines-1348,"Golden, CO",5 reviews,"For students who want to work in the sciences, opportunities abound at the Colorado School of Mines. A public engineering and applied sciences school in Golden, Colorado, Mines has 14 academic departments, including Mechanical Engineering and Geophysics. The school also offers courses in the Liberal Arts & International Studies and Economics & Business departments. When students aren\'92t studying, the school\'92s location is ideal for outdoor recreation. Golden is 13 miles from the state capital of Denver and lies in the foothills of the Rocky Mountains, where students can bike, hike and climb. The campus also has a climbing wall for students to test their skills before attempting the Rockies. Cold-weather sports fans can partake in the annual Winter Carnival, a student-run affair packed with skiing and snowboarding at a local resort. The Mines sports teams, known as the Orediggers, compete in the NCAA Division II Rocky Mountain Athletic Conference, which is mostly made up of other teams from Colorado. The school mascot is Blaster the burro, and a giant ""M"" emblazoned onto nearby Mount Zion signifies the school spirit. There are more than 140 student clubs and organizations, including seven fraternities and three sororities. First-year students are required to live on campus. Even the student newspaper, The Oredigger, is decidedly science based; sections include weekly roundups of new discoveries and a Geek of the Week feature.Research opportunities abound for undergraduate and graduate students at the Renewable Energy Materials Research Science and Engineering Center and the Unconventional Natural Gas and Oil Institute, two on-campus powerhouses for energy innovation. The school campus is also home to a geology museum, where admission is free and students can check out displays from moon rocks to fossilized dinosaur tracks. Mines alumni garner some of the highest-paid starting salaries in the country, and graduates have gone on to excel as engineers, scientists and entrepreneurs. Notable alumni include Andrew Swiger, senior vice president and principal financial officer of ExxonMobil, and Harold M. Korell, executive chairman of the board of Southwestern Energy.","$39,800(out-of-state)","5,216(fall 2020)"
84,Elon University,https://www.usnews.com//best-colleges/elon-university-2927,"Elon, NC",18 reviews,"Elon University is located in Elon, N.C., between Greensboro and the Raleigh-Durham-Chapel Hill triangle. With more than 240 clubs and organizations, there are many ways for students to get involved. Every Tuesday, the community hosts College Coffee, a weekly campus tradition during which faculty, staff and students gather for coffee and snacks at the Phi Beta Kappa Commons. Students can work off the extra calories participating in intramural, club or varsity sports. The Phoenix, Elon\'92s varsity athletic teams, compete in the NCAA Division I Colonial Athletic Association (CAA). Greek organizations are a significant part of social life on campus, representing about 35% of the student body. All first- and second-year students are required to live on campus in one of the residence halls.Elon is organized into six schools and colleges: the College of Arts and Sciences, Martha and Spencer Love School of Business, School of Communications, School of Education, School of Health Sciences, and School of Law. Undergraduates choose from more nearly 60 majors within a variety of disciplines. Each year, 45 incoming first-year students are admitted into the Honors Program, which offers smaller discussion classes, a motivated academic community, and benefits like study abroad grants and special Honors housing. More than 80% of students at Elon study abroad. The Elon University Poll conducts three polls each semester on issues of importance in and around North Carolina.","$38,725 ","6,291(fall 2020)"
85,Howard University,https://www.usnews.com//best-colleges/howard-university-1448,"Washington, DC",34 reviews,"Howard University is a historically black college located in Washington, D.C. Despite its urban setting, students are permitted to bring cars to campus \'96 though freshmen may not apply for on-campus parking.","$28,916 ","7,857(fall 2020)"
86,Marquette University,https://www.usnews.com//best-colleges/marquette-university-3863,"Milwaukee, WI",10 reviews,"Marquette University, a private Catholic, Jesuit school, is in walking distance of downtown Milwaukee, a city known for its restaurants, zoo and athletics. The Marquette Golden Eagles are members of the NCAA Division I Big East Conference and are especially competitive in basketball. The men's basketball team plays in the Wisconsin Entertainment & Sports Center, which is also home to the NBA's Milwaukee Bucks. There is no varsity football team, but enthusiasts of the sport can play at the intramural level. Other sports options include a tennis singles league, indoor volleyball and intramural innertube water polo. Students have almost 300 clubs and organizations to get involved in, and about 15 percent of the student body takes part in the Greek system, which includes more than 20 fraternities and sororities. To kick off each spring semester, the university holds the Winter Flurry, a week of games and activities that culminates in a semiformal dance known as Snowball. Freshmen and sophomores must live on campus, unless they reside locally with a family member or guardian. Lake Michigan is a mile from campus, and students can travel on Milwaukee County Transit System buses for free with a pass.Marquette has more than 25 academic centers and institutes on campus, including the Thermofluid Science and Energy Research Center and National Sports Law Institute. The Les Aspin Center for Government, located on Capitol Hill in Washington, D.C., brings students to study and intern in the nation\'92s capital for a semester. Notable Marquette alumni include Gail Collins, a New York Times columnist; Patrick Eugene Haggerty, cofounder of Texas Instruments; and Chris Farley, an actor who starred on ""Saturday Night Live"" and in ""Tommy Boy."" (In that film, Farley\'92s character, Tommy Callahan, is also a Marquette graduate.)","$45,766 ","8,024(fall 2020)"
87,Michigan State University,https://www.usnews.com//best-colleges/michigan-state-2290,"East Lansing, MI",9 reviews,"Michigan State University was the first land-grant institution in the country and became a model for similar schools. Michigan State is also home to one of the nation's only environmental journalism organizations, a solar car racing team and a student-run organic farm. Its graduate programs include the highly ranked College of Education and the well-regarded Eli Broad College of Business.Students can join more than 900 student clubs, including 60-plus fraternities and sororities. The university has one of the largest single-campus residence hall systems in the U.S., and freshmen must live on campus, with a few exceptions. Students can take advantage of more than 275 study abroad programs.","$39,766(out-of-state)","38,491(fall 2020)"
88,Stevens Institute of Technology,https://www.usnews.com//best-colleges/stevens-institute-of-technology-2639,"Hoboken, NJ",2 reviews,"Innovation and entrepreneurship is stressed at Stevens Institute of Technology, a research-intensive school primarily known for its engineering, science and management programs. Incoming freshmen are required to have the proper technology, and can use special school discounts to buy a laptop that can work with the software specialized to their major. Students can opt for a cooperative education track, which is a five-year program with mostly alternating semesters of class and full-time, paid work. Students participating in the Stevens Cooperative Education Program complete a full first and fifth year at Stevens, and pay for only four years of school. Though Stevens focuses heavily on science and engineering, the university is organized into four schools or colleges, which includes the College of Arts and Letters. This college takes a unique approach to a traditional liberal arts education because the coursework emphasizes the intersection of the arts and humanities with science and technology.On campus, in Hoboken, New Jersey, there are more than 100 clubs and organizations, including about 15 fraternities and sororities. Housing is guaranteed for four years, and more than 60% of students choose to live on campus. The campus lies along the Hudson River, and New York City is a boat or subway ride away. The Stevens Ducks compete in the NCAA Division III Empire 8 Athletic Conference until fall 2019, when the university enters the Middle Atlantic Conference, or MAC. Through the school\'92s Adopt-a-Team program, all student athletes have a faculty mentor to help them juggle sports and school work. The school was exclusively for male students until 1971, and now, females make up 30% of the student body. Notable Stevens alumni include Alfred W. Fielding, one of the inventors of Bubble Wrap packaging material, and Frederick Winslow Taylor, widely known as the father of scientific management.","$56,920 ","3,670(fall 2020)"
89,Texas Christian University,https://www.usnews.com//best-colleges/tcu-3636,"Fort Worth, TX",4 reviews,"Texas Christian University is the biggest religious university associated with the Christian Church (Disciples of Christ) and is open to students of any faith. There are more than 20 religious organizations for students to join, among more than 200 others. Greek life is a popular option, with close to 40 percent of the student body involved in more than 30 fraternities and sororities. Freshmen and sophomores must live on campus, unless they are older than 21 or commute from a parent's home. The Horned Frog sports teams are members of the NCAA Division I Big XII Conference and are especially competitive in football. The unusual mascot is a small lizard and is also the official state reptile of Texas. Volunteer activities are a particularly big draw for students, and the school\'92s Center for Community Involvement & Service-Learning coordinates excursions like service trips over spring break. The campus is about five miles from downtown Fort Worth, a historic area that still has an Old West feel. Students can check out live bull riding shows at Billy Bob\'92s, a restaurant that is billed as the world\'92s largest honky-tonk, or catch a rodeo at the Cowtown Coliseum. Dallas is about 35 miles away.The university is affiliated with the Brite Divinity School, a theological seminary. The university has its own specialty study abroad programs in London; Florence, Italy; and Seville, Spain, and coordinates with other schools for students wishing to study elsewhere. Notable alumni include journalist Bob Schieffer and Rod Roddy, a former announcer on ""The Price is Right.""","$51,660 ","9,704(fall 2020)"
90,University of California--Riverside,https://www.usnews.com//best-colleges/university-of-california-riverside-1316,"Riverside, CA",10 reviews,"Despite its setting in Southern California, UCR has a distinctly Scottish feel. All residence halls at the University of California\'97Riverside are named for landmarks in Scotland, including Aberdeen-Inverness and Pentland Hills. Student athletes compete as UCR Highlanders in the NCAA Division I Big West Conference. The school's original mascot was a live Scottish terrier; today, sports teams are supported by a kilt-clad bear named Scotty. Members of the student Pep Band don plaid berets and sashes as they play the ""Brave Scots"" fight song at sports matches, and students who play the bagpipes or drums can join the school's Pipe Band as well.About 70 percent of UCR students are commuters, and freshmen do not have to live on campus. Students may want to hang around after class, however, for notable annual events like the fall Block Party and Spring Splash. There are more than 300 student organizations to check out, too, including about 40 fraternities and sororities. Freshmen can ease into college with the help of the First Year Success Series, a combination of seminars and workshops that teach students study and time management skills. Riverside is in an ideal location for road trips, with Disneyland and Orange County within a 40-mile drive and Los Angeles about 60 miles away.UCR is one of 10 schools in the University of California system and was the official UC Citrus Experiment Station before becoming a university. In the years since, faculty researchers have bred several new types of fruit, including the Melogold grapefruit and the Golden Nugget orange. Today, the university offers well-regarded graduate programs through the Bourns College of Engineering and Graduate School of Education. Notable alumni include Pulitzer Prize-winning editorial cartoonist Steve Breen, best-selling mystery novel author Elizabeth George and Nobel Prize-winning chemist Richard Schrock.","$43,496(out-of-state)","22,687(fall 2020)"
91,University of Iowa,https://www.usnews.com//best-colleges/university-of-iowa-1892,"Iowa City, IA",10 reviews,"The University of Iowa offers top-notch academic programming in more than 100 areas. Students looking to hone their leadership skills have many options, too: They can enroll in the LeaderShape Institute, a six-day getaway workshop; or participate in one of the many programs offered through the Center for Student Involvement & Leadership, including arts and entertainment, and multicultural programs. Freshmen do not have to live on campus, but about 95 percent choose to do so. Campus life may pose a challenge to tobacco users, as Iowa is a smoke-free campus. Students have more than 500 clubs and organizations from which to choose, and close to 10 percent of students go Greek as members of the school's more than 50 fraternities and sororities. Sports are another big focus of campus life; even in the competitive NCAA Division I Big Ten Conference, the Iowa Hawkeyes are notorious players. Four blocks from campus is Iowa City, a Midwestern metropolis that has been recognized among the nation\'92s best for its scenery, greenery and sustainable energy efforts.The University of Iowa has many well-ranked graduate programs, including degrees offered through its College of Law, Roy J. and Lucille A. Carver College of Medicine, Henry B. Tippie School of Management and College of Education. The University of Iowa Hospitals and Clinics is a very highly ranked facility as well. Famous Iowa alumni include George Gallup, founder of the public opinion Gallup Poll; George Nissen, inventor of the trampoline; and Diablo Cody, screenwriter of ""Juno"" and ""Jennifer\'92s Body."" Actor Ashton Kutcher was briefly a Hawkeye who studied biomedical engineering before a modeling agent spotted him.","$31,569(out-of-state)","22,304(fall 2020)"
92,Stony Brook University--SUNY,https://www.usnews.com//best-colleges/stony-brook-suny-2838,"Stony Brook, NY",8 reviews,"Stony Brook University is one of 64 schools in the State University of New York (SUNY) system. Located on the North Shore of Long Island, the university is accessible by car, train and ferry, and many students choose to commute. Freshmen do not have to live on campus. Academic activity pauses each Wednesday from 1 p.m. to 2:30 p.m. for Campus Life Time, when students can check out free concerts, sample free food and take a break from the rigor of classes. Annually, students gather for events like the Roth Pond Regatta, a race of student-made cardboard boats, and the Shirley Strum Kenny Student Arts Festival, a week of student work showcases. Students can also check out more than 300 student organizations on campus, including more than 30 fraternities and sororities. On the athletic fields, the Stony Brook Seawolves compete in the NCAA Division I America East Conference. For a workout off the field, students can bike and hike around Stony Brook\'92s large, wooded campus, which includes the Ashley Schiff Park Preserve. For an urban experience, New York City is about 60 miles away.Stony Brook is home to the only undergraduate journalism school in the SUNY system as well as the highly ranked Stony Brook University Medical Center. The university also has a location in Southampton and a classroom building in Manhattan. Notable alumni include Patricia S. Cowings, the first woman to be trained as an astronaut in the United States, and Craig Allen, a meteorologist for WCBS Newsradio 880 in New York City.","$28,080(out-of-state)","18,010(fall 2020)"
93,University at Buffalo--SUNY,https://www.usnews.com//best-colleges/ub-9554,"Buffalo, NY",12 reviews,"Founded in 1846, University at Buffalo--SUNY is a public institution. University at Buffalo--SUNY follows a semester-based academic calendar and its admissions are considered more selective.","$28,194(out-of-state)","22,306(fall 2020)"
94,University of California--Merced,https://www.usnews.com//best-colleges/university-of-california-merced-4127,"Merced, CA",7 reviews,"Founded in 2005, University of California--Merced is a public institution. The school has 32.2% of its classes with fewer than 20 students, and the student-faculty ratio at University of California--Merced is 19:1.","$43,319(out-of-state)","8,276(fall 2020)"
